HSYNCHTIME;SUCCESS;COLLSIZE;PHASEADJ;FREQADJ;ALPHA;BETA;TREFPERC;M;MINFREQ;MAXFREQ;K;T_F;ADJTIMESCALE
27,20721;1;3;1;0;0,2;0,8;0,1;5;0,1;4;;;1
2,162616;1;3;1;0;0,2;0,8;0,1;5;0,1;4;;;1
60,01678;0;3;1;0;0,2;0,8;0,1;5;0,1;4;;;1
30,9546;1;3;1;0;0,2;0,8;0,1;5;0,1;4;;;1
60,00238;0;3;1;0;0,2;0,8;0,1;5;0,1;4;;;1
23,45288;1;15;1;0;0,2;0,8;0,1;5;0,1;4;;;1
18,40814;1;50;1;0;0,2;0,8;0,1;5;0,1;4;;;1
20,73222;1;3;1;0;0,2;0,8;0,1;5;0,1;4;;;1
60,01103;0;3;1;0;0,2;0,8;0,1;5;0,1;4;;;1
35,27874;1;3;1;0;0,2;0,8;0,1;5;0,1;4;;;1
32,8428;1;3;1;0;0,2;0,8;0,1;5;0,1;4;;;1
18,56489;1;100;1;0;0,01;0,8;0,1;5;0,1;4;;;1
60,00909;0;100;1;0;0,0002;0,8;0,1;5;0,1;4;;;1
37,99748;1;100;1;0;0,002;0,8;0,1;5;0,1;4;;;1
60,0084;0;6;1;0;0,002;0,8;0,1;5;0,1;4;;;1
20,98206;1;6;1;0;0,2;0,8;0,1;5;0,1;4;;;1
28,67108;1;100;1;0;0,2;0,8;0,1;5;0,1;4;;;1
19,48303;1;100;1;0;0,2;0,8;0,1;5;0,1;4;;;1
20,52875;1;100;0;0;0,2;0,8;0,1;5;0,1;4;;;1
20,70667;1;100;0;0;0,2;0,8;0,1;5;0,1;4;;;2
60,1;0;100;1;0;0,2;0,8;0,1;5;0,1;4;;;5
10,74667;1;100;1;0;0,2;0,8;0,1;5;0,1;4;;;4
25,41333;1;100;1;0;0,2;0,8;0,1;5;0,1;4;;;4
28,70667;1;100;1;0;0,2;0,8;0,1;5;0,1;4;;;2
10,35164;1;100;1;0;0,2;0,8;0,1;5;0,1;4;;;1
20,52286;1;100;0;0;0,2;0,8;0,1;5;0,1;4;;;1
35,91096;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
14,81495;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
49,22341;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
10,21633;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
20,84652;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
13,05197;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
29,65414;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
21,49598;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
37,97284;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
20,80241;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
10,33098;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
61,3713;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
20,91868;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
19,4592;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
19,64747;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
15,42611;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
24,48586;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
16,41222;1;6;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
21,14812;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
25,32504;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
15,3358;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
23,48096;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
39,82968;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
28,54196;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
300,0356;0;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
10,22164;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
24,53191;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
25,45222;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
10,3053;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
15,37656;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
47,96817;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
31,60004;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
29,6105;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
12,33627;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
15,31561;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
17,35423;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
23,45281;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
39,81216;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
15,29366;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
23,51918;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
23,51449;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
15,30844;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
23,47159;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
10,21095;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
37,77055;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
15,29628;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
35,79629;1;100;1;0;0,6;0,8;0,1;5;0,1;4;8;0,08;1
